[2015-11-11 00:12:39] EDIT Course_Regesitration/views/layout_academic.html: 0
[2015-11-11 00:12:53] EDIT Course_Regesitration/views/layout_academic.html: 0
[2015-11-11 00:13:57] CREATE _Course_management/Addc.html: 0
[2015-11-11 00:14:20] CREATE Course_management/Delc.html: 0
[2015-11-11 00:14:50] DELETE Course_Regesitration/views/_Course_management/Addc.html: -3
[2015-11-11 00:15:02] EDIT Course_Regesitration/views/Course_management/Delc.html: 0
[2015-11-11 00:16:02] EDIT Course_Regesitration/controllers/Course_management.py: 6
[2015-11-11 00:16:04] EDIT Course_Regesitration/controllers/Course_management.py: 0
[2015-11-11 00:17:27] EDIT Course_Regesitration/models/menu_academic.py: 0
[2015-11-11 00:17:53] EDIT Course_Regesitration/models/menu_academic.py: 0
[2015-11-11 00:18:29] CREATE Course_management/Viewc.html: 0
[2015-11-11 00:18:47] CREATE Course_management/Addc.html: 0
[2015-11-11 00:22:09] EDIT Course_Regesitration/controllers/Course_management.py: 1
[2015-11-11 00:22:27] EDIT Course_Regesitration/views/Course_management/Addc.html: -1
[2015-11-11 00:26:51] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-11 00:40:41] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-11 00:41:01] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-11 00:44:40] EDIT Course_Regesitration/models/menu_academic.py: -2
[2015-11-11 00:45:54] EDIT Course_Regesitration/models/menu_academic.py: 1
[2015-11-11 00:45:59] EDIT Course_Regesitration/models/menu_academic.py: 0
[2015-11-11 00:47:06] EDIT Course_Regesitration/controllers/Course_management.py: 1
[2015-11-11 00:47:26] EDIT Course_Regesitration/views/Course_management/Delc.html: -1
[2015-11-11 00:48:32] EDIT Course_Regesitration/controllers/Course_management.py: 0
[2015-11-11 00:48:44] EDIT Course_Regesitration/controllers/Course_management.py: 0
[2015-11-11 00:48:53] EDIT Course_Regesitration/views/Course_management/Delc.html: 0
[2015-11-11 00:52:02] EDIT Course_Regesitration/views/Course_management/Delc.html: -1
[2015-11-11 00:52:24] EDIT Course_Regesitration/views/Course_management/Delc.html: 1
[2015-11-11 00:52:32] EDIT Course_Regesitration/controllers/Course_management.py: 0
[2015-11-12 14:37:23] CREATE menu_students.py: 0
[2015-11-12 14:37:51] CREATE menu_prof.py: 0
[2015-11-12 14:38:27] CREATE layout_prof.html: 0
[2015-11-12 14:38:51] EDIT Course_Regesitration/views/layout_prof.html: 125
[2015-11-12 14:39:15] EDIT Course_Regesitration/views/layout_prof.html: 0
[2015-11-12 14:39:54] CREATE layout_students.html: 0
[2015-11-12 14:40:26] EDIT Course_Regesitration/views/layout_students.html: 125
[2015-11-12 14:42:12] EDIT Course_Regesitration/models/menu_students.py: 16
[2015-11-12 14:43:40] EDIT Course_Regesitration/models/menu_prof.py: 16
[2015-11-12 14:47:35] EDIT Course_Regesitration/models/my_table.py: 1
[2015-11-12 14:53:00] EDIT Course_Regesitration/views/Course_management/Delc.html: 0
[2015-11-12 14:56:02] EDIT Course_Regesitration/controllers/Course_management.py: -5
[2015-11-12 14:56:20] EDIT Course_Regesitration/controllers/Course_management.py: 0
[2015-11-12 14:56:41] DELETE Course_Regesitration/views/Course_management/Addc.html: -2
